,number,value,datetime_start,datetime_complete,duration,params_lr,state
37,37,0.07998690009117126,2024-08-12 23:46:05.231418,2024-08-12 23:46:11.705796,0 days 00:00:06.474378,0.0005738715410682485,PRUNED
38,38,0.4624801278114319,2024-08-12 23:46:11.706477,2024-08-12 23:46:16.701131,0 days 00:00:04.994654,0.0052914176941673595,PRUNED
39,39,0.08779348433017731,2024-08-12 23:46:16.701801,2024-08-12 23:46:21.674419,0 days 00:00:04.972618,0.0008670238555883633,PRUNED
40,40,0.058234017342329025,2024-08-12 23:46:21.675093,2024-08-12 23:48:54.606261,0 days 00:02:32.931168,0.0003199611649554965,COMPLETE
41,41,0.08687145262956619,2024-08-12 23:48:54.608001,2024-08-12 23:48:59.531539,0 days 00:00:04.923538,0.0002127016798656508,PRUNED
42,42,0.09540044516324997,2024-08-12 23:48:59.532231,2024-08-12 23:49:04.514191,0 days 00:00:04.981960,0.00014442833139644674,PRUNED
43,43,0.04954150691628456,2024-08-12 23:49:04.514867,2024-08-12 23:51:36.129537,0 days 00:02:31.614670,0.00023774327555186665,COMPLETE
44,44,0.10564097762107849,2024-08-12 23:51:36.131420,2024-08-12 23:51:40.848477,0 days 00:00:04.717057,0.0001229572915049405,PRUNED
45,45,0.2790452539920807,2024-08-12 23:51:40.849158,2024-08-12 23:51:45.654422,0 days 00:00:04.805264,0.0035695639514516557,PRUNED
46,46,0.09160308539867401,2024-08-12 23:51:45.655179,2024-08-12 23:51:50.573693,0 days 00:00:04.918514,0.00016407847292685925,PRUNED
47,47,0.10796236246824265,2024-08-12 23:51:50.574372,2024-08-12 23:51:55.314726,0 days 00:00:04.740354,0.0011517209081522842,PRUNED
48,48,0.10546546429395676,2024-08-12 23:51:55.315458,2024-08-12 23:52:00.129362,0 days 00:00:04.813904,0.00010287109651674114,PRUNED
49,49,0.058663155883550644,2024-08-12 23:52:00.130042,2024-08-12 23:54:32.239975,0 days 00:02:32.109933,0.00030528928409272204,COMPLETE
50,50,0.05012388899922371,2024-08-12 23:54:32.241702,2024-08-12 23:57:02.233244,0 days 00:02:29.991542,0.00024174773126714363,COMPLETE
51,51,0.059741031378507614,2024-08-12 23:57:02.235068,2024-08-12 23:59:33.729977,0 days 00:02:31.494909,0.0002745868006352374,COMPLETE
52,52,0.0884147584438324,2024-08-12 23:59:33.731752,2024-08-12 23:59:38.251310,0 days 00:00:04.519558,0.00018320746808319136,PRUNED
53,53,0.08139105886220932,2024-08-12 23:59:38.251993,2024-08-12 23:59:46.201252,0 days 00:00:07.949259,0.00043902533564781424,PRUNED
54,54,0.09281020611524582,2024-08-12 23:59:46.201939,2024-08-12 23:59:50.857913,0 days 00:00:04.655974,0.00014952798731906122,PRUNED
55,55,0.08745274692773819,2024-08-12 23:59:50.858581,2024-08-12 23:59:55.752349,0 days 00:00:04.893768,0.0002007145954705859,PRUNED
56,56,0.10212273895740509,2024-08-12 23:59:55.753036,2024-08-13 00:00:00.623757,0 days 00:00:04.870721,0.00011757447574976922,PRUNED
57,57,0.05232621729373932,2024-08-13 00:00:00.624430,2024-08-13 00:02:31.284046,0 days 00:02:30.659616,0.00028412731643510404,COMPLETE
58,58,0.6217561960220337,2024-08-13 00:02:31.285850,2024-08-13 00:02:35.842511,0 days 00:00:04.556661,0.0092658051397587,PRUNED
59,59,0.06694966554641724,2024-08-13 00:02:35.843200,2024-08-13 00:03:05.439561,0 days 00:00:29.596361,0.00035455661897488866,PRUNED
60,60,0.08063562214374542,2024-08-13 00:03:05.440308,2024-08-13 00:03:11.695071,0 days 00:00:06.254763,0.0005473180841533713,PRUNED
61,61,0.056597523391246796,2024-08-13 00:03:11.695773,2024-08-13 00:05:43.440049,0 days 00:02:31.744276,0.00023930697605825733,COMPLETE
62,62,0.09194507449865341,2024-08-13 00:05:43.441830,2024-08-13 00:05:48.046471,0 days 00:00:04.604641,0.000166472919302134,PRUNED
63,63,0.04559609293937683,2024-08-13 00:05:48.047177,2024-08-13 00:08:19.888779,0 days 00:02:31.841602,0.00022552696644682966,COMPLETE
64,64,0.0883994996547699,2024-08-13 00:08:19.890490,2024-08-13 00:08:24.464981,0 days 00:00:04.574491,0.00020330078331903532,PRUNED
65,65,0.09535148739814758,2024-08-13 00:08:24.465654,2024-08-13 00:08:29.009833,0 days 00:00:04.544179,0.0001529884108477803,PRUNED
66,66,0.041697219014167786,2024-08-13 00:08:29.010503,2024-08-13 00:11:01.743796,0 days 00:02:32.733293,0.00025536147948656196,COMPLETE
67,67,0.10211890190839767,2024-08-13 00:11:01.745689,2024-08-13 00:11:06.620740,0 days 00:00:04.875051,0.00012366786176718864,PRUNED
68,68,0.09053447842597961,2024-08-13 00:11:06.621424,2024-08-13 00:11:11.117849,0 days 00:00:04.496425,0.00018457106838459838,PRUNED
69,69,0.057364001870155334,2024-08-13 00:11:11.118605,2024-08-13 00:13:42.181941,0 days 00:02:31.063336,0.000408035424332215,COMPLETE
70,70,0.05359303578734398,2024-08-13 00:13:42.183877,2024-08-13 00:16:12.906452,0 days 00:02:30.722575,0.00034282272586207596,COMPLETE
71,71,0.04525841027498245,2024-08-13 00:16:12.908304,2024-08-13 00:18:43.345686,0 days 00:02:30.437382,0.0002594019201289634,COMPLETE
72,72,0.06246388331055641,2024-08-13 00:18:43.347479,2024-08-13 00:21:15.245965,0 days 00:02:31.898486,0.0002566969303974243,COMPLETE
73,73,0.0910809263586998,2024-08-13 00:21:15.247902,2024-08-13 00:21:20.225512,0 days 00:00:04.977610,0.0002189335776578163,PRUNED
74,74,0.052030980587005615,2024-08-13 00:21:20.226204,2024-08-13 00:23:51.928212,0 days 00:02:31.702008,0.0003027113919827332,COMPLETE
75,75,0.09381169080734253,2024-08-13 00:23:51.930012,2024-08-13 00:23:56.503251,0 days 00:00:04.573239,0.0001836280108032701,PRUNED
76,76,0.10492511838674545,2024-08-13 00:23:56.503935,2024-08-13 00:24:01.396337,0 days 00:00:04.892402,0.00015136125253396537,PRUNED
77,77,0.04317474365234375,2024-08-13 00:24:01.397028,2024-08-13 00:26:32.546660,0 days 00:02:31.149632,0.00022090732494869887,COMPLETE
78,78,0.09699141979217529,2024-08-13 00:26:32.548548,2024-08-13 00:26:37.313104,0 days 00:00:04.764556,0.00012814396546166257,PRUNED
79,79,0.04520631209015846,2024-08-13 00:26:37.313790,2024-08-13 00:29:08.533323,0 days 00:02:31.219533,0.00026837979265735936,COMPLETE
80,80,0.10080735385417938,2024-08-13 00:29:08.535074,2024-08-13 00:29:13.124157,0 days 00:00:04.589083,0.00011427532492388177,PRUNED
81,81,0.05316650867462158,2024-08-13 00:29:13.124843,2024-08-13 00:31:44.568549,0 days 00:02:31.443706,0.00020538016704082468,COMPLETE
82,82,0.05040790140628815,2024-08-13 00:31:44.570311,2024-08-13 00:34:15.494109,0 days 00:02:30.923798,0.00026020262122963464,COMPLETE
83,83,0.09192781150341034,2024-08-13 00:34:15.495966,2024-08-13 00:34:20.422336,0 days 00:00:04.926370,0.00016992285175743504,PRUNED
84,84,0.05089111626148224,2024-08-13 00:34:20.423021,2024-08-13 00:36:51.669163,0 days 00:02:31.246142,0.000330123297721468,COMPLETE
85,85,0.061275795102119446,2024-08-13 00:36:51.670954,2024-08-13 00:39:20.833328,0 days 00:02:29.162374,0.00028875919274861425,COMPLETE
