,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_lr,params_n_units_l0,params_n_units_l1,params_n_units_l2,state
33,33,0.052431870251894,2024-07-25 13:39:15.675354,2024-07-25 13:39:42.278726,0 days 00:00:26.603372,elu,tanh,sigmoid,0.00015010058386151728,832,625,709,COMPLETE
34,34,0.050049252808094025,2024-07-25 13:39:42.280675,2024-07-25 13:40:07.220337,0 days 00:00:24.939662,elu,tanh,sigmoid,0.00013879670870022646,828,651,721,COMPLETE
35,35,0.04950898140668869,2024-07-25 13:40:07.222420,2024-07-25 13:40:33.342051,0 days 00:00:26.119631,elu,tanh,sigmoid,0.00014019822651231277,952,746,881,COMPLETE
36,36,0.06284987926483154,2024-07-25 13:40:33.344079,2024-07-25 13:40:58.360317,0 days 00:00:25.016238,elu,tanh,sigmoid,0.0003682576994563967,947,747,1005,COMPLETE
37,37,0.0885283499956131,2024-07-25 13:40:58.362804,2024-07-25 13:41:23.785726,0 days 00:00:25.422922,sigmoid,tanh,tanh,0.00013256132290417224,776,820,872,COMPLETE
38,38,0.05340227484703064,2024-07-25 13:41:23.787707,2024-07-25 13:41:49.349470,0 days 00:00:25.561763,elu,tanh,elu,0.0001313616110143895,943,881,805,COMPLETE
39,39,0.04916360601782799,2024-07-25 13:41:49.351486,2024-07-25 13:42:15.789751,0 days 00:00:26.438265,elu,tanh,sigmoid,0.0002044549234454334,864,673,920,COMPLETE
40,40,0.0596824549138546,2024-07-25 13:42:15.791866,2024-07-25 13:42:41.496827,0 days 00:00:25.704961,sigmoid,sigmoid,sigmoid,0.0003921669162279948,1024,696,941,COMPLETE
41,41,0.05424613878130913,2024-07-25 13:42:41.498977,2024-07-25 13:43:08.177415,0 days 00:00:26.678438,elu,tanh,sigmoid,0.00018496439525663545,894,762,865,COMPLETE
42,42,0.05744854733347893,2024-07-25 13:43:08.179506,2024-07-25 13:43:34.271902,0 days 00:00:26.092396,elu,tanh,sigmoid,0.00023927512794609312,770,669,776,COMPLETE
43,43,0.04926491156220436,2024-07-25 13:43:34.273982,2024-07-25 13:43:58.117431,0 days 00:00:23.843449,elu,tanh,sigmoid,0.00012786967302888264,841,501,907,COMPLETE
44,44,0.07781120389699936,2024-07-25 13:43:58.119482,2024-07-25 13:44:24.227873,0 days 00:00:26.108391,elu,tanh,tanh,0.00012896432870174287,854,498,921,COMPLETE
45,45,0.0486367829144001,2024-07-25 13:44:24.229985,2024-07-25 13:44:51.407967,0 days 00:00:27.177982,elu,tanh,sigmoid,0.00010206443731313983,964,483,1010,COMPLETE
46,46,0.069720059633255,2024-07-25 13:44:51.409959,2024-07-25 13:45:15.293572,0 days 00:00:23.883613,elu,sigmoid,sigmoid,0.00016724227399367398,132,460,1023,COMPLETE
47,47,0.06668921560049057,2024-07-25 13:45:15.295725,2024-07-25 13:45:40.871787,0 days 00:00:25.576062,sigmoid,tanh,sigmoid,0.00010931090403130482,976,408,961,COMPLETE
48,48,0.05769491195678711,2024-07-25 13:45:40.873758,2024-07-25 13:46:07.261991,0 days 00:00:26.388233,elu,tanh,elu,0.00010769936582559928,914,494,896,COMPLETE
49,49,0.5569124221801758,2024-07-25 13:46:07.264021,2024-07-25 13:46:32.960365,0 days 00:00:25.696344,elu,sigmoid,tanh,0.009885271100948273,964,540,831,COMPLETE
50,50,0.082687608897686,2024-07-25 13:46:32.962379,2024-07-25 13:46:58.887194,0 days 00:00:25.924815,elu,tanh,sigmoid,0.0010541833311960484,869,711,993,COMPLETE
51,51,0.050917427986860275,2024-07-25 13:46:58.889634,2024-07-25 13:47:23.742472,0 days 00:00:24.852838,elu,tanh,sigmoid,0.00013269905440525722,800,414,929,COMPLETE
52,52,0.046014245599508286,2024-07-25 13:47:23.744678,2024-07-25 13:47:48.379286,0 days 00:00:24.634608,elu,tanh,sigmoid,0.00016133445954761406,845,796,968,COMPLETE
