,number,value,datetime_start,datetime_complete,duration,params_layers,params_lr,state
17,17,0.06537593901157379,2024-08-09 13:06:32.622397,2024-08-09 13:09:32.704454,0 days 00:03:00.082057,4,0.00038649300611765723,COMPLETE
18,18,0.1552353799343109,2024-08-09 13:09:32.706432,2024-08-09 13:11:55.871766,0 days 00:02:23.165334,3,0.002255430431620453,COMPLETE
19,19,0.0675613209605217,2024-08-09 13:11:55.873564,2024-08-09 13:14:22.744678,0 days 00:02:26.871114,3,0.0004914688345074546,COMPLETE
20,20,0.03725520893931389,2024-08-09 13:14:22.746423,2024-08-09 13:17:23.262892,0 days 00:03:00.516469,4,0.0001385399436677502,COMPLETE
21,21,0.043993107974529266,2024-08-09 13:17:23.264708,2024-08-09 13:20:22.916507,0 days 00:02:59.651799,4,0.00014400239356071026,COMPLETE
22,22,0.04496694356203079,2024-08-09 13:20:22.918399,2024-08-09 13:22:49.835766,0 days 00:02:26.917367,3,0.0002380072406186884,COMPLETE
23,23,0.04418247565627098,2024-08-09 13:22:49.837621,2024-08-09 13:26:15.189388,0 days 00:03:25.351767,5,0.00013115945040145736,COMPLETE
24,24,0.0522918738424778,2024-08-09 13:26:15.191326,2024-08-09 13:29:13.541324,0 days 00:02:58.349998,4,0.0001988908208737538,COMPLETE
25,25,0.044207941740751266,2024-08-09 13:29:13.543287,2024-08-09 13:31:40.596097,0 days 00:02:27.052810,3,0.00012641129008926808,COMPLETE
26,26,0.07146859914064407,2024-08-09 13:31:40.597880,2024-08-09 13:34:42.107193,0 days 00:03:01.509313,4,0.00032299506464992454,COMPLETE
27,27,0.7960896492004395,2024-08-09 13:34:42.109034,2024-08-09 13:38:03.951003,0 days 00:03:21.841969,5,0.0037598381537802977,COMPLETE
28,28,0.07113742083311081,2024-08-09 13:38:03.952977,2024-08-09 13:41:05.021598,0 days 00:03:01.068621,4,0.00046436646990797724,COMPLETE
29,29,0.04968234524130821,2024-08-09 13:41:05.023433,2024-08-09 13:43:19.505584,0 days 00:02:14.482151,2,0.00026562164366021585,COMPLETE
30,30,0.17499415576457977,2024-08-09 13:43:19.507423,2024-08-09 13:45:47.096070,0 days 00:02:27.588647,3,0.0014649010917841957,COMPLETE
31,31,0.04837594926357269,2024-08-09 13:45:47.097833,2024-08-09 13:48:15.388932,0 days 00:02:28.291099,3,0.0002054659708767371,COMPLETE
32,32,0.041221823543310165,2024-08-09 13:48:15.390730,2024-08-09 13:50:42.736786,0 days 00:02:27.346056,3,0.00014942425683786936,COMPLETE
33,33,0.9085527062416077,2024-08-09 13:50:42.738513,2024-08-09 13:53:07.922707,0 days 00:02:25.184194,3,0.00934750048307694,COMPLETE
34,34,0.04939211532473564,2024-08-09 13:53:07.924472,2024-08-09 13:55:18.305436,0 days 00:02:10.380964,2,0.0001544793136549677,COMPLETE
35,35,0.04592505469918251,2024-08-09 13:55:18.307181,2024-08-09 13:58:12.418966,0 days 00:02:54.111785,4,0.00012003836900614926,COMPLETE
36,36,0.040803637355566025,2024-08-09 13:58:12.420861,2024-08-09 14:00:36.727189,0 days 00:02:24.306328,3,0.00015771444909381716,COMPLETE
37,37,0.052364282310009,2024-08-09 14:00:36.729006,2024-08-09 14:02:47.726620,0 days 00:02:10.997614,2,0.00035800156511884705,COMPLETE
38,38,0.11288951337337494,2024-08-09 14:02:47.728361,2024-08-09 14:04:46.527471,0 days 00:01:58.799110,1,0.00017269974339138768,COMPLETE
39,39,0.04153997823596001,2024-08-09 14:04:46.529236,2024-08-09 14:07:11.457721,0 days 00:02:24.928485,3,0.00025518258016133316,COMPLETE
40,40,0.13127431273460388,2024-08-09 14:07:11.459533,2024-08-09 14:10:03.395413,0 days 00:02:51.935880,4,0.0011750400286356794,COMPLETE
41,41,0.03364786133170128,2024-08-09 14:10:03.397375,2024-08-09 14:12:27.485959,0 days 00:02:24.088584,3,0.00010029904864678184,COMPLETE
42,42,0.03874092921614647,2024-08-09 14:12:27.490318,2024-08-09 14:14:54.135392,0 days 00:02:26.645074,3,0.000151787215700157,COMPLETE
43,43,0.03393075615167618,2024-08-09 14:14:54.137173,2024-08-09 14:17:33.676532,0 days 00:02:39.539359,3,0.00010178291821159742,COMPLETE
44,44,0.04446269944310188,2024-08-09 14:17:33.678488,2024-08-09 14:19:46.101786,0 days 00:02:12.423298,2,0.00010168823694106302,COMPLETE
45,45,0.04019573703408241,2024-08-09 14:19:46.103580,2024-08-09 14:22:01.539710,0 days 00:02:15.436130,2,0.00010074168474292426,COMPLETE
46,46,0.04794538393616676,2024-08-09 14:22:01.541448,2024-08-09 14:24:28.721473,0 days 00:02:27.180025,3,0.00020035399487794488,COMPLETE
47,47,0.03681325539946556,2024-08-09 14:24:28.723269,2024-08-09 14:26:59.089352,0 days 00:02:30.366083,3,0.0001339073075936693,COMPLETE
48,48,0.04299580305814743,2024-08-09 14:26:59.091214,2024-08-09 14:29:19.238670,0 days 00:02:20.147456,2,0.00012178962332957952,COMPLETE
49,49,0.0443953238427639,2024-08-09 14:29:19.240424,2024-08-09 14:32:16.487517,0 days 00:02:57.247093,4,0.00018492180353488476,COMPLETE
50,50,0.08806940168142319,2024-08-09 14:32:16.489567,2024-08-09 14:34:41.732332,0 days 00:02:25.242765,3,0.0007056397592876245,COMPLETE
51,51,0.03715985640883446,2024-08-09 14:34:41.734112,2024-08-09 14:37:11.086506,0 days 00:02:29.352394,3,0.00012849947976420985,COMPLETE
52,52,0.04224137216806412,2024-08-09 14:37:11.088316,2024-08-09 14:39:38.741063,0 days 00:02:27.652747,3,0.0001319528180610548,COMPLETE
53,53,0.04028402641415596,2024-08-09 14:39:38.742940,2024-08-09 14:42:08.437155,0 days 00:02:29.694215,3,0.00011516548931095769,COMPLETE
54,54,0.043686144053936005,2024-08-09 14:42:08.438952,2024-08-09 14:44:35.863174,0 days 00:02:27.424222,3,0.0001683574882348745,COMPLETE
55,55,0.05261451005935669,2024-08-09 14:44:35.865131,2024-08-09 14:47:35.024592,0 days 00:02:59.159461,4,0.0002283019511675479,COMPLETE
56,56,0.03794902190566063,2024-08-09 14:47:35.026503,2024-08-09 14:50:04.926854,0 days 00:02:29.900351,3,0.00013900461649539437,COMPLETE
57,57,0.04833371564745903,2024-08-09 14:50:04.928774,2024-08-09 14:52:31.412701,0 days 00:02:26.483927,3,0.0002909623997503862,COMPLETE
58,58,0.2257111519575119,2024-08-09 14:52:31.414504,2024-08-09 14:55:00.729938,0 days 00:02:29.315434,3,0.002974141272431561,COMPLETE
59,59,0.04327330365777016,2024-08-09 14:55:00.731766,2024-08-09 14:58:00.831191,0 days 00:03:00.099425,4,0.0001108229165029308,COMPLETE
60,60,0.09305266290903091,2024-08-09 14:58:00.833118,2024-08-09 15:01:02.302876,0 days 00:03:01.469758,4,0.0004370468960912339,COMPLETE
61,61,0.03896551579236984,2024-08-09 15:01:02.304914,2024-08-09 15:03:29.638044,0 days 00:02:27.333130,3,0.00013556814658541845,COMPLETE
62,62,0.042709916830062866,2024-08-09 15:03:29.639816,2024-08-09 15:05:56.343930,0 days 00:02:26.704114,3,0.00018051226099301496,COMPLETE
63,63,0.03877164423465729,2024-08-09 15:05:56.345693,2024-08-09 15:08:26.025151,0 days 00:02:29.679458,3,0.00013972720254853166,COMPLETE
64,64,0.04149439185857773,2024-08-09 15:08:26.026935,2024-08-09 15:10:55.457042,0 days 00:02:29.430107,3,0.00012260367088979626,COMPLETE
65,65,0.04162636399269104,2024-08-09 15:10:55.458872,2024-08-09 15:13:22.955837,0 days 00:02:27.496965,3,0.00021700905856111228,COMPLETE
66,66,0.04522030055522919,2024-08-09 15:13:22.957616,2024-08-09 15:16:49.996413,0 days 00:03:27.038797,5,0.0001023249321079172,COMPLETE
67,67,0.04240050166845322,2024-08-09 15:16:49.998560,2024-08-09 15:19:05.221633,0 days 00:02:15.223073,2,0.0001476652416654367,COMPLETE
68,68,0.05186542868614197,2024-08-09 15:19:05.223368,2024-08-09 15:21:30.368874,0 days 00:02:25.145506,3,0.00030338670861611083,COMPLETE
69,69,0.04441036656498909,2024-08-09 15:21:30.370687,2024-08-09 15:23:59.386651,0 days 00:02:29.015964,3,0.0001822654874744951,COMPLETE
70,70,0.04072263091802597,2024-08-09 15:23:59.388499,2024-08-09 15:26:25.309722,0 days 00:02:25.921223,3,0.00012186584760963425,COMPLETE
71,71,0.04456866905093193,2024-08-09 15:26:25.311499,2024-08-09 15:28:52.682582,0 days 00:02:27.371083,3,0.0001554124364605355,COMPLETE
72,72,0.039650749415159225,2024-08-09 15:28:52.684386,2024-08-09 15:31:19.461478,0 days 00:02:26.777092,3,0.00013969571190302588,COMPLETE
73,73,0.04223610460758209,2024-08-09 15:31:19.463339,2024-08-09 15:33:45.555284,0 days 00:02:26.091945,3,0.00011474833661774035,COMPLETE
74,74,0.045926984399557114,2024-08-09 15:33:45.557076,2024-08-09 15:36:13.441996,0 days 00:02:27.884920,3,0.00024394568614732702,COMPLETE
75,75,0.051945820450782776,2024-08-09 15:36:13.443817,2024-08-09 15:38:36.595423,0 days 00:02:23.151606,3,0.00016161740206185359,COMPLETE
76,76,0.06080196425318718,2024-08-09 15:38:36.597242,2024-08-09 15:41:33.921107,0 days 00:02:57.323865,4,0.00020188303006414752,COMPLETE
77,77,0.03956275060772896,2024-08-09 15:41:33.923049,2024-08-09 15:44:01.270386,0 days 00:02:27.347337,3,0.00010017275977975464,COMPLETE
78,78,0.042520251125097275,2024-08-09 15:44:01.272194,2024-08-09 15:46:18.007629,0 days 00:02:16.735435,2,0.00013653482262689795,COMPLETE
79,79,0.044754981994628906,2024-08-09 15:46:18.009428,2024-08-09 15:49:11.613603,0 days 00:02:53.604175,4,0.00016359860879798562,COMPLETE
80,80,0.0344378761947155,2024-08-09 15:49:11.615582,2024-08-09 15:51:39.294861,0 days 00:02:27.679279,3,0.00011336411956435327,COMPLETE
81,81,0.03828687593340874,2024-08-09 15:51:39.296657,2024-08-09 15:54:06.651731,0 days 00:02:27.355074,3,0.00011672584126999723,COMPLETE
82,82,0.03703034669160843,2024-08-09 15:54:06.653537,2024-08-09 15:56:32.951745,0 days 00:02:26.298208,3,0.00010926788915163196,COMPLETE
83,83,0.03803744912147522,2024-08-09 15:56:32.953535,2024-08-09 15:59:00.891166,0 days 00:02:27.937631,3,0.00010817759164758572,COMPLETE
84,84,0.042252473533153534,2024-08-09 15:59:00.892957,2024-08-09 16:01:26.658390,0 days 00:02:25.765433,3,0.00012854475462976893,COMPLETE
85,85,0.03627680987119675,2024-08-09 16:01:26.660337,2024-08-09 16:03:52.900980,0 days 00:02:26.240643,3,0.0001111998219111204,COMPLETE
86,86,0.4505517780780792,2024-08-09 16:03:52.902785,2024-08-09 16:06:17.633857,0 days 00:02:24.731072,3,0.004753004266339249,COMPLETE
87,87,0.04219663143157959,2024-08-09 16:06:17.635635,2024-08-09 16:08:45.081941,0 days 00:02:27.446306,3,0.00010800533935033514,COMPLETE
88,88,0.045729976147413254,2024-08-09 16:08:45.083910,2024-08-09 16:11:04.263204,0 days 00:02:19.179294,2,0.00019257467252296922,COMPLETE
89,89,0.07380793988704681,2024-08-09 16:11:04.264955,2024-08-09 16:13:30.280873,0 days 00:02:26.015918,3,0.0005455891664455384,COMPLETE
90,90,0.042862892150878906,2024-08-09 16:13:30.282659,2024-08-09 16:15:57.696096,0 days 00:02:27.413437,3,0.00012527723507968732,COMPLETE
91,91,0.035883061587810516,2024-08-09 16:15:57.697930,2024-08-09 16:18:31.523225,0 days 00:02:33.825295,3,0.00013845723854864642,COMPLETE
92,92,0.04038284346461296,2024-08-09 16:18:31.525018,2024-08-09 16:21:32.647341,0 days 00:03:01.122323,3,0.00011241195733902441,COMPLETE
93,93,0.03763428330421448,2024-08-09 16:21:32.649458,2024-08-09 16:24:44.627336,0 days 00:03:11.977878,3,0.00014909464472960706,COMPLETE
94,94,0.04032628983259201,2024-08-09 16:24:44.629305,2024-08-09 16:28:19.918006,0 days 00:03:35.288701,3,0.00012836976979759378,COMPLETE
95,95,0.039597585797309875,2024-08-09 16:28:19.920266,2024-08-09 16:31:33.498377,0 days 00:03:13.578111,3,0.00016697414089396147,COMPLETE
96,96,0.03774496912956238,2024-08-09 16:31:33.500625,2024-08-09 16:34:57.764632,0 days 00:03:24.264007,3,0.00011087148289802135,COMPLETE
97,97,0.037381548434495926,2024-08-09 16:34:57.766475,2024-08-09 16:37:54.077253,0 days 00:02:56.310778,3,0.00010188898708859317,COMPLETE
98,98,0.038990091532468796,2024-08-09 16:37:54.079090,2024-08-09 16:41:40.832416,0 days 00:03:46.753326,4,0.00014288271130855868,COMPLETE
99,99,0.044081445783376694,2024-08-09 16:41:40.834672,2024-08-09 16:45:18.936471,0 days 00:03:38.101799,3,0.00017616607491470474,COMPLETE
