,number,value,datetime_start,datetime_complete,duration,params_layers,params_lr,state
0,0,0.21093283593654633,2024-08-09 12:22:47.663519,2024-08-09 12:25:09.949920,0 days 00:02:22.286401,2,0.00600024071754342,COMPLETE
1,1,0.15946786105632782,2024-08-09 12:25:09.959534,2024-08-09 12:28:17.407071,0 days 00:03:07.447537,4,0.0010256936613789612,COMPLETE
2,2,0.05822012200951576,2024-08-09 12:28:17.411886,2024-08-09 12:30:46.437895,0 days 00:02:29.026009,2,0.00033937625414871435,COMPLETE
3,3,0.09435874223709106,2024-08-09 12:30:46.440906,2024-08-09 12:33:30.605381,0 days 00:02:44.164475,3,0.0008646604668119035,COMPLETE
4,4,0.10709614306688309,2024-08-09 12:33:30.607087,2024-08-09 12:35:36.217391,0 days 00:02:05.610304,1,0.0017994153326897375,COMPLETE
5,5,0.26701515913009644,2024-08-09 12:35:36.219053,2024-08-09 12:37:51.707854,0 days 00:02:15.488801,2,0.0067808827935988475,COMPLETE
6,6,0.045814838260412216,2024-08-09 12:37:51.709798,2024-08-09 12:40:06.862684,0 days 00:02:15.152886,2,0.00017754479580042924,COMPLETE
7,7,0.13909389078617096,2024-08-09 12:40:06.865661,2024-08-09 12:43:21.418416,0 days 00:03:14.552755,5,0.0008323813194772191,COMPLETE
8,8,0.8429923057556152,2024-08-09 12:43:21.420514,2024-08-09 12:46:22.472705,0 days 00:03:01.052191,4,0.006367061025556682,COMPLETE
9,9,0.08544088900089264,2024-08-09 12:46:22.474475,2024-08-09 12:49:20.190230,0 days 00:02:57.715755,4,0.0006391773048967686,COMPLETE
10,10,0.13412386178970337,2024-08-09 12:49:20.191872,2024-08-09 12:51:18.337453,0 days 00:01:58.145581,1,0.00010033728455325766,COMPLETE
11,11,0.04607658088207245,2024-08-09 12:51:18.339168,2024-08-09 12:53:22.299219,0 days 00:02:03.960051,2,0.00017227411516564754,COMPLETE
12,12,0.04136290028691292,2024-08-09 12:53:22.300907,2024-08-09 12:55:48.742485,0 days 00:02:26.441578,3,0.00011737760819716908,COMPLETE
13,13,0.043051622807979584,2024-08-09 12:55:48.749620,2024-08-09 12:58:17.497459,0 days 00:02:28.747839,3,0.00022222185544295496,COMPLETE
14,14,0.04833367094397545,2024-08-09 12:58:17.499075,2024-08-09 13:00:45.126239,0 days 00:02:27.627164,3,0.000288661523601761,COMPLETE
15,15,0.03680567070841789,2024-08-09 13:00:45.128060,2024-08-09 13:03:10.703358,0 days 00:02:25.575298,3,0.00013887770073672887,COMPLETE
16,16,0.04476908966898918,2024-08-09 13:03:10.707674,2024-08-09 13:06:32.620532,0 days 00:03:21.912858,5,0.00010444840458538596,COMPLETE
