,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_lr,params_n_units_l0,params_n_units_l1,params_n_units_l2,state
0,0,0.0633884072303772,2024-07-25 14:10:45.011368,2024-07-25 14:11:10.464757,0 days 00:00:25.453389,tanh,tanh,elu,0.00023664459560044455,235,351,875,COMPLETE
1,1,0.39782947301864624,2024-07-25 14:11:10.468781,2024-07-25 14:11:31.770731,0 days 00:00:21.301950,tanh,sigmoid,tanh,0.00993745854128959,458,296,863,COMPLETE
2,2,0.08972658962011337,2024-07-25 14:11:31.772572,2024-07-25 14:11:53.209963,0 days 00:00:21.437391,sigmoid,tanh,elu,0.00011297345568572452,486,348,753,COMPLETE
3,3,0.08199574798345566,2024-07-25 14:11:53.211726,2024-07-25 14:12:16.919416,0 days 00:00:23.707690,sigmoid,elu,sigmoid,0.0009872318727809138,756,983,398,COMPLETE
4,4,0.10333500057458878,2024-07-25 14:12:16.921166,2024-07-25 14:12:39.017676,0 days 00:00:22.096510,elu,elu,sigmoid,0.0016307692687461683,803,598,813,COMPLETE
5,5,0.09266217052936554,2024-07-25 14:12:39.019371,2024-07-25 14:13:00.468397,0 days 00:00:21.449026,elu,tanh,tanh,0.0003201715041643996,179,605,288,COMPLETE
6,6,0.13604824244976044,2024-07-25 14:13:00.470097,2024-07-25 14:13:21.923440,0 days 00:00:21.453343,tanh,sigmoid,tanh,0.0018324554602380011,863,692,899,COMPLETE
7,7,0.05738247185945511,2024-07-25 14:13:21.925149,2024-07-25 14:13:42.712138,0 days 00:00:20.786989,sigmoid,sigmoid,sigmoid,0.0002480661740901852,717,651,759,COMPLETE
8,8,0.35991063714027405,2024-07-25 14:13:42.717487,2024-07-25 14:14:05.752376,0 days 00:00:23.034889,tanh,elu,tanh,0.009631979821682379,896,237,297,COMPLETE
9,9,0.157151460647583,2024-07-25 14:14:05.754133,2024-07-25 14:14:26.799928,0 days 00:00:21.045795,elu,tanh,elu,0.002383108162332628,277,151,1023,COMPLETE
10,10,0.061341967433691025,2024-07-25 14:14:26.801676,2024-07-25 14:14:48.636455,0 days 00:00:21.834779,sigmoid,sigmoid,sigmoid,0.0004983674974435338,1023,836,599,COMPLETE
11,11,0.056484829634428024,2024-07-25 14:14:48.638203,2024-07-25 14:15:10.448243,0 days 00:00:21.810040,sigmoid,sigmoid,sigmoid,0.000500781691442307,1010,829,582,COMPLETE
12,12,0.06356396526098251,2024-07-25 14:15:10.456468,2024-07-25 14:15:35.722833,0 days 00:00:25.266365,sigmoid,sigmoid,sigmoid,0.0001531399157482508,656,808,584,COMPLETE
13,13,0.0684351846575737,2024-07-25 14:15:35.724850,2024-07-25 14:16:00.312697,0 days 00:00:24.587847,sigmoid,sigmoid,sigmoid,0.0006170256337803024,1020,467,468,COMPLETE
14,14,0.05766632780432701,2024-07-25 14:16:00.314717,2024-07-25 14:16:24.675548,0 days 00:00:24.360831,sigmoid,sigmoid,sigmoid,0.00028150015569277964,631,977,664,COMPLETE
15,15,0.0832437202334404,2024-07-25 14:16:24.677563,2024-07-25 14:16:50.029200,0 days 00:00:25.351637,sigmoid,sigmoid,sigmoid,0.0005927998179460038,723,757,131,COMPLETE
16,16,0.06506966799497604,2024-07-25 14:16:50.031278,2024-07-25 14:17:14.536353,0 days 00:00:24.505075,sigmoid,sigmoid,sigmoid,0.00016762826678537912,533,900,703,COMPLETE
17,17,0.13615165650844574,2024-07-25 14:17:14.538847,2024-07-25 14:17:40.056764,0 days 00:00:25.517917,sigmoid,sigmoid,sigmoid,0.004178339375474362,914,484,486,COMPLETE
18,18,0.06127301976084709,2024-07-25 14:17:40.058700,2024-07-25 14:18:05.210081,0 days 00:00:25.151381,sigmoid,sigmoid,sigmoid,0.0004301645538525001,386,716,975,COMPLETE
19,19,0.11836452782154083,2024-07-25 14:18:05.212122,2024-07-25 14:18:31.058091,0 days 00:00:25.845969,elu,elu,elu,0.0010262311704078882,667,495,750,COMPLETE
20,20,0.07251620292663574,2024-07-25 14:18:31.060134,2024-07-25 14:18:56.910911,0 days 00:00:25.850777,sigmoid,sigmoid,sigmoid,0.0009222336033542245,961,665,505,COMPLETE
21,21,0.05201313644647598,2024-07-25 14:18:56.912755,2024-07-25 14:19:22.785578,0 days 00:00:25.872823,sigmoid,sigmoid,sigmoid,0.00027035230656727505,612,995,658,COMPLETE
22,22,0.07223188132047653,2024-07-25 14:19:22.794411,2024-07-25 14:19:48.972400,0 days 00:00:26.177989,sigmoid,sigmoid,sigmoid,0.00019570304548699046,380,891,644,COMPLETE
23,23,0.056446630507707596,2024-07-25 14:19:48.974304,2024-07-25 14:20:14.874583,0 days 00:00:25.900279,sigmoid,sigmoid,sigmoid,0.000369723563974846,577,1014,751,COMPLETE
