,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_lr,params_n_units_l0,params_n_units_l1,params_n_units_l2,state
24,24,0.06870132684707642,2024-07-25 14:20:14.876538,2024-07-25 14:20:40.682072,0 days 00:00:25.805534,sigmoid,sigmoid,sigmoid,0.0003342194084740802,591,1010,550,COMPLETE
25,25,0.0832173228263855,2024-07-25 14:20:40.684012,2024-07-25 14:21:06.758844,0 days 00:00:26.074832,sigmoid,sigmoid,sigmoid,0.00010340516569920469,380,912,404,COMPLETE
26,26,0.06819214671850204,2024-07-25 14:21:06.760720,2024-07-25 14:21:33.077848,0 days 00:00:26.317128,sigmoid,sigmoid,sigmoid,0.0007110089645073193,787,1024,662,COMPLETE
27,27,0.057459212839603424,2024-07-25 14:21:33.079756,2024-07-25 14:21:59.125742,0 days 00:00:26.045986,sigmoid,sigmoid,sigmoid,0.0003802481915952196,558,826,790,COMPLETE
28,28,0.10094759613275528,2024-07-25 14:21:59.127762,2024-07-25 14:22:26.011933,0 days 00:00:26.884171,elu,elu,tanh,0.0007756694946210048,451,937,701,COMPLETE
29,29,0.07458942383527756,2024-07-25 14:22:26.014054,2024-07-25 14:22:53.613532,0 days 00:00:27.599478,tanh,tanh,elu,0.00023225331563423484,829,779,870,COMPLETE
30,30,0.14664526283740997,2024-07-25 14:22:53.615659,2024-07-25 14:23:20.088151,0 days 00:00:26.472492,tanh,tanh,elu,0.001318438045028005,296,862,547,COMPLETE
31,31,0.057074662297964096,2024-07-25 14:23:20.090156,2024-07-25 14:23:46.474056,0 days 00:00:26.383900,sigmoid,sigmoid,sigmoid,0.00021924725446115283,714,933,735,COMPLETE
32,32,0.0648806244134903,2024-07-25 14:23:46.475959,2024-07-25 14:24:10.702759,0 days 00:00:24.226800,sigmoid,sigmoid,sigmoid,0.0001395007206393905,587,954,627,COMPLETE
33,33,0.05497787520289421,2024-07-25 14:24:10.705176,2024-07-25 14:24:35.819523,0 days 00:00:25.114347,sigmoid,sigmoid,sigmoid,0.00047271998127879756,528,943,837,COMPLETE
34,34,0.05833963677287102,2024-07-25 14:24:35.821495,2024-07-25 14:25:01.453281,0 days 00:00:25.631786,sigmoid,sigmoid,sigmoid,0.000558810789082956,497,1021,922,COMPLETE
35,35,0.06785161048173904,2024-07-25 14:25:01.455278,2024-07-25 14:25:25.247023,0 days 00:00:23.791745,sigmoid,sigmoid,sigmoid,0.00045019255135025183,413,873,838,COMPLETE
36,36,0.08266028016805649,2024-07-25 14:25:25.249088,2024-07-25 14:25:51.361899,0 days 00:00:26.112811,sigmoid,sigmoid,tanh,0.0003667698610245345,541,965,810,COMPLETE
37,37,0.055749863386154175,2024-07-25 14:25:51.363935,2024-07-25 14:26:17.645373,0 days 00:00:26.281438,tanh,elu,sigmoid,0.00030131645265117575,320,751,949,COMPLETE
38,38,0.05723825842142105,2024-07-25 14:26:17.647346,2024-07-25 14:26:43.730674,0 days 00:00:26.083328,tanh,elu,sigmoid,0.0002728614028763254,162,748,929,COMPLETE
39,39,0.07704140990972519,2024-07-25 14:26:43.732656,2024-07-25 14:27:11.314892,0 days 00:00:27.582236,tanh,elu,tanh,0.00019200994339146245,300,955,964,COMPLETE
40,40,0.06650085747241974,2024-07-25 14:27:11.317039,2024-07-25 14:27:37.224325,0 days 00:00:25.907286,tanh,elu,elu,0.0001254232758828763,209,541,858,COMPLETE
41,41,0.052590616047382355,2024-07-25 14:27:37.226106,2024-07-25 14:28:01.979897,0 days 00:00:24.753791,tanh,elu,sigmoid,0.0003167518594743592,495,854,786,COMPLETE
42,42,0.04964758828282356,2024-07-25 14:28:01.981931,2024-07-25 14:28:27.643656,0 days 00:00:25.661725,tanh,elu,sigmoid,0.0002900382962410125,500,864,797,COMPLETE
43,43,0.054778289049863815,2024-07-25 14:28:27.650361,2024-07-25 14:28:53.699487,0 days 00:00:26.049126,tanh,elu,sigmoid,0.00028285426023520445,482,854,790,COMPLETE
44,44,0.04928380250930786,2024-07-25 14:28:53.701519,2024-07-25 14:29:16.329513,0 days 00:00:22.627994,tanh,elu,sigmoid,0.00017353255892510057,474,866,796,COMPLETE
45,45,0.043275147676467896,2024-07-25 14:29:16.335747,2024-07-25 14:29:40.355524,0 days 00:00:24.019777,tanh,elu,sigmoid,0.00015898573829281355,471,802,790,COMPLETE
46,46,0.048840176314115524,2024-07-25 14:29:40.361280,2024-07-25 14:30:05.936855,0 days 00:00:25.575575,tanh,elu,sigmoid,0.00017379066984331504,430,798,700,COMPLETE
47,47,0.050399184226989746,2024-07-25 14:30:05.938837,2024-07-25 14:30:30.500872,0 days 00:00:24.562035,tanh,elu,sigmoid,0.00015819201111510784,438,794,704,COMPLETE
48,48,0.07026826590299606,2024-07-25 14:30:30.502925,2024-07-25 14:30:56.630921,0 days 00:00:26.127996,tanh,elu,tanh,0.00012174111828815439,457,699,693,COMPLETE
49,49,0.05160316824913025,2024-07-25 14:30:56.632849,2024-07-25 14:31:22.611164,0 days 00:00:25.978315,tanh,elu,sigmoid,0.00016799110441573939,338,800,881,COMPLETE
50,50,0.05695278197526932,2024-07-25 14:31:22.613604,2024-07-25 14:31:47.107042,0 days 00:00:24.493438,tanh,elu,sigmoid,0.0001382531891751805,253,627,709,COMPLETE
51,51,0.04734240099787712,2024-07-25 14:31:47.109050,2024-07-25 14:32:12.630572,0 days 00:00:25.521522,tanh,elu,sigmoid,0.00017745136252513943,413,795,889,COMPLETE
52,52,0.045186977833509445,2024-07-25 14:32:12.632497,2024-07-25 14:32:38.233240,0 days 00:00:25.600743,tanh,elu,sigmoid,0.00010211109192081823,421,787,1019,COMPLETE
53,53,0.051991529762744904,2024-07-25 14:32:38.235489,2024-07-25 14:33:05.486503,0 days 00:00:27.251014,tanh,elu,sigmoid,0.00010295027615462506,350,734,899,COMPLETE
54,54,0.0556991882622242,2024-07-25 14:33:05.488615,2024-07-25 14:33:30.063893,0 days 00:00:24.575278,tanh,elu,sigmoid,0.00019372781407474187,411,665,987,COMPLETE
55,55,0.051628392189741135,2024-07-25 14:33:30.066052,2024-07-25 14:33:55.913688,0 days 00:00:25.847636,tanh,elu,sigmoid,0.00013519374337579704,430,569,1024,COMPLETE
56,56,0.0551680326461792,2024-07-25 14:33:55.915763,2024-07-25 14:34:21.235548,0 days 00:00:25.319785,tanh,elu,sigmoid,0.00021659580104923032,518,373,823,COMPLETE
57,57,0.06640257686376572,2024-07-25 14:34:21.237305,2024-07-25 14:34:46.688928,0 days 00:00:25.451623,tanh,elu,elu,0.0001706098087174628,363,819,903,COMPLETE
58,58,0.050173353403806686,2024-07-25 14:34:46.691011,2024-07-25 14:35:13.086970,0 days 00:00:26.395959,tanh,elu,sigmoid,0.00011330611253466246,486,765,1001,COMPLETE
59,59,0.1389021873474121,2024-07-25 14:35:13.088964,2024-07-25 14:35:39.549790,0 days 00:00:26.460826,elu,elu,sigmoid,0.0038023725544417456,403,899,764,COMPLETE
60,60,0.04764110594987869,2024-07-25 14:35:39.551773,2024-07-25 14:36:05.086255,0 days 00:00:25.534482,tanh,elu,sigmoid,0.0001528849215933603,464,707,858,COMPLETE
61,61,0.05150052532553673,2024-07-25 14:36:05.088221,2024-07-25 14:36:31.273620,0 days 00:00:26.185399,tanh,elu,sigmoid,0.00015134084453720663,464,714,854,COMPLETE
62,62,0.048230670392513275,2024-07-25 14:36:31.275626,2024-07-25 14:36:56.970558,0 days 00:00:25.694932,tanh,elu,sigmoid,0.00018432915727916406,430,791,800,COMPLETE
63,63,0.04542505368590355,2024-07-25 14:36:56.972525,2024-07-25 14:37:23.333131,0 days 00:00:26.360606,tanh,elu,sigmoid,0.00010252163594635199,431,785,942,COMPLETE
64,64,0.04820287972688675,2024-07-25 14:37:23.335032,2024-07-25 14:37:49.463265,0 days 00:00:26.128233,tanh,tanh,sigmoid,0.00012418917913806265,427,783,947,COMPLETE
65,65,0.04972134158015251,2024-07-25 14:37:49.465213,2024-07-25 14:38:15.444464,0 days 00:00:25.979251,tanh,tanh,sigmoid,0.00010467425827356129,389,684,944,COMPLETE
66,66,0.048505522310733795,2024-07-25 14:38:15.446362,2024-07-25 14:38:41.662458,0 days 00:00:26.216096,tanh,tanh,sigmoid,0.00011999273964576572,353,731,1002,COMPLETE
67,67,0.06801176816225052,2024-07-25 14:38:41.664425,2024-07-25 14:39:08.107009,0 days 00:00:26.442584,elu,tanh,tanh,0.00014277244608136246,554,781,909,COMPLETE
68,68,0.05423441156744957,2024-07-25 14:39:08.109064,2024-07-25 14:39:34.273157,0 days 00:00:26.164093,tanh,tanh,sigmoid,0.00023157985928764686,319,628,967,COMPLETE
69,69,0.05543338134884834,2024-07-25 14:39:34.275149,2024-07-25 14:40:00.397232,0 days 00:00:26.122083,tanh,tanh,elu,0.00010100904643746333,433,831,884,COMPLETE
70,70,0.07584342360496521,2024-07-25 14:40:00.399331,2024-07-25 14:40:24.371338,0 days 00:00:23.972007,tanh,elu,sigmoid,0.00012428594483305058,269,687,145,COMPLETE
71,71,0.0508384183049202,2024-07-25 14:40:24.373109,2024-07-25 14:40:47.718602,0 days 00:00:23.345493,tanh,tanh,sigmoid,0.0001200698399144685,348,719,994,COMPLETE
72,72,0.0528840534389019,2024-07-25 14:40:47.720589,2024-07-25 14:41:13.548824,0 days 00:00:25.828235,tanh,tanh,sigmoid,0.0001935356845686904,379,759,937,COMPLETE
73,73,0.17054806649684906,2024-07-25 14:41:13.550957,2024-07-25 14:41:39.144297,0 days 00:00:25.593340,tanh,tanh,sigmoid,0.008479497417752996,404,723,1008,COMPLETE
74,74,0.04665590450167656,2024-07-25 14:41:39.146359,2024-07-25 14:42:03.074662,0 days 00:00:23.928303,tanh,tanh,sigmoid,0.00011917935511938891,456,811,953,COMPLETE
75,75,0.04351077601313591,2024-07-25 14:42:03.076811,2024-07-25 14:42:28.153143,0 days 00:00:25.076332,tanh,tanh,sigmoid,0.00015071270981415353,518,810,958,COMPLETE
76,76,0.047046463936567307,2024-07-25 14:42:28.155238,2024-07-25 14:42:52.605206,0 days 00:00:24.449968,tanh,tanh,sigmoid,0.0001487560083787778,602,827,958,COMPLETE
77,77,0.05009825900197029,2024-07-25 14:42:52.607160,2024-07-25 14:43:17.409817,0 days 00:00:24.802657,tanh,tanh,sigmoid,0.0001513668676581461,630,829,918,COMPLETE
78,78,0.052839506417512894,2024-07-25 14:43:17.411832,2024-07-25 14:43:43.250581,0 days 00:00:25.838749,elu,tanh,sigmoid,0.0002448605504141862,610,914,955,COMPLETE
79,79,0.0511588454246521,2024-07-25 14:43:43.252626,2024-07-25 14:44:09.068521,0 days 00:00:25.815895,tanh,tanh,sigmoid,0.00020886437089291497,668,883,971,COMPLETE
80,80,0.04649142175912857,2024-07-25 14:44:09.070510,2024-07-25 14:44:35.409991,0 days 00:00:26.339481,tanh,tanh,sigmoid,0.0001375528656901875,569,843,880,COMPLETE
81,81,0.048231057822704315,2024-07-25 14:44:35.412055,2024-07-25 14:45:03.402196,0 days 00:00:27.990141,tanh,tanh,sigmoid,0.00014711482968594625,519,813,879,COMPLETE
82,82,0.0499720461666584,2024-07-25 14:45:03.405128,2024-07-25 14:45:28.609824,0 days 00:00:25.204696,tanh,tanh,sigmoid,0.00013866871505316077,565,841,853,COMPLETE
83,83,0.04329690337181091,2024-07-25 14:45:28.611815,2024-07-25 14:45:52.647037,0 days 00:00:24.035222,tanh,tanh,sigmoid,0.00011448490324639095,542,767,897,COMPLETE
84,84,0.04317683354020119,2024-07-25 14:45:52.649093,2024-07-25 14:46:18.316516,0 days 00:00:25.667423,tanh,tanh,sigmoid,0.00010860283195219765,696,847,981,COMPLETE
85,85,0.07270807027816772,2024-07-25 14:46:18.325172,2024-07-25 14:46:43.654754,0 days 00:00:25.329582,tanh,tanh,tanh,0.00011392752907069201,696,914,976,COMPLETE
86,86,0.06386756151914597,2024-07-25 14:46:43.656727,2024-07-25 14:47:09.160709,0 days 00:00:25.503982,tanh,tanh,sigmoid,0.000110262157876692,599,171,1018,COMPLETE
87,87,0.0489322729408741,2024-07-25 14:47:09.162631,2024-07-25 14:47:32.818685,0 days 00:00:23.656054,tanh,tanh,elu,0.00010096742250626405,752,848,922,COMPLETE
88,88,0.0442868173122406,2024-07-25 14:47:32.820708,2024-07-25 14:47:57.362361,0 days 00:00:24.541653,tanh,tanh,sigmoid,0.00013183701055009047,637,766,976,COMPLETE
89,89,0.045261215418577194,2024-07-25 14:47:57.364357,2024-07-25 14:48:23.196341,0 days 00:00:25.831984,tanh,tanh,sigmoid,0.00013192807228448156,657,765,984,COMPLETE
90,90,0.048541393131017685,2024-07-25 14:48:23.198408,2024-07-25 14:48:49.253575,0 days 00:00:26.055167,tanh,tanh,sigmoid,0.00013305970183083795,651,771,986,COMPLETE
91,91,0.04917066916823387,2024-07-25 14:48:49.255624,2024-07-25 14:49:14.091828,0 days 00:00:24.836204,tanh,tanh,sigmoid,0.00012965195917543284,684,751,930,COMPLETE
92,92,0.04543420672416687,2024-07-25 14:49:14.093963,2024-07-25 14:49:41.973388,0 days 00:00:27.879425,tanh,tanh,sigmoid,0.00011679183599221514,633,879,987,COMPLETE
93,93,0.04234844073653221,2024-07-25 14:49:41.975490,2024-07-25 14:50:08.728267,0 days 00:00:26.752777,tanh,tanh,sigmoid,0.00010852240116170318,737,873,987,COMPLETE
94,94,0.04493258520960808,2024-07-25 14:50:08.736047,2024-07-25 14:50:35.273030,0 days 00:00:26.536983,tanh,tanh,sigmoid,0.00011334726557660378,746,873,985,COMPLETE
95,95,0.04869670048356056,2024-07-25 14:50:35.275242,2024-07-25 14:51:01.038220,0 days 00:00:25.762978,tanh,tanh,sigmoid,0.00010771469837606125,750,745,1023,COMPLETE
96,96,0.05027304217219353,2024-07-25 14:51:01.040249,2024-07-25 14:51:26.170876,0 days 00:00:25.130627,elu,tanh,sigmoid,0.0001621234772901499,727,897,1003,COMPLETE
97,97,0.0852723941206932,2024-07-25 14:51:26.173112,2024-07-25 14:51:50.057093,0 days 00:00:23.883981,tanh,tanh,sigmoid,0.001729946136321329,773,990,978,COMPLETE
98,98,0.04293161630630493,2024-07-25 14:51:50.059202,2024-07-25 14:52:13.863215,0 days 00:00:23.804013,tanh,tanh,sigmoid,0.00010083275702089867,820,935,912,COMPLETE
99,99,0.046802252531051636,2024-07-25 14:52:13.865352,2024-07-25 14:52:40.164530,0 days 00:00:26.299178,tanh,tanh,sigmoid,0.00012833075344514326,817,924,907,COMPLETE
